,Name,Country,lat,long,Max temp,Humidity,Cloudiness,Wind Speed,Date Rec
0,arraial do cabo,br,-41.14,-32.57,77.0,61.0,40.0,25.28,1602520854
1,atuona,pf,8.03,-137.88,78.19,75.0,33.0,16.37,1602520740
2,new norfolk,au,-79.46,131.76,52.0,70.0,93.0,5.01,1602520854
3,fonte boa,br,-2.74,-66.05,98.6,35.0,6.0,3.02,1602520854
4,saint george,bm,30.23,-50.84,60.8,26.0,1.0,3.36,1602520854
5,ushuaia,ar,-71.52,-54.18,48.2,81.0,75.0,17.22,1602520854
6,saint-philippe,re,-71.32,72.09,75.2,78.0,12.0,3.36,1602520854
7,kapaa,us,33.62,-158.15,75.2,88.0,75.0,5.82,1602520854
8,chokurdakh,ru,73.95,144.03,17.24,98.0,97.0,2.46,1602520855
9,punta arenas,cl,-52.24,-77.86,46.4,75.0,90.0,8.05,1602520855
10,tezpur,in,26.79,92.83,76.89,87.0,6.0,1.54,1602520855
11,east london,za,-70.99,53.62,64.4,72.0,44.0,14.99,1602520616
12,tocopilla,cl,-22.19,-72.69,69.48,43.0,14.0,6.13,1602520611
13,esperance,au,-53.02,126.39,51.8,93.0,0.0,11.41,1602520855
14,port elizabeth,za,-42.75,26.96,64.99,69.0,33.0,1.01,1602520855
15,new norfolk,au,-82.11,123.68,52.0,70.0,93.0,5.01,1602520854
16,bredasdorp,za,-67.9,22.03,66.2,48.0,95.0,20.8,1602520593
17,busselton,au,-84.72,76.34,55.0,84.0,58.0,10.16,1602520855
18,greensburg,us,40.24,-79.47,64.99,82.0,90.0,6.93,1602520830
19,vuktyl,ru,64.19,58.47,44.8,91.0,100.0,5.53,1602520855
20,kaitangata,nz,-58.05,175.84,46.0,82.0,68.0,1.01,1602520855
21,ponta delgada,pt,29.82,-26.39,71.6,60.0,75.0,13.87,1602520855
22,ahipara,nz,-34.37,163.05,59.99,96.0,100.0,9.24,1602520856
24,victoria,sc,-7.51,56.14,82.0,88.0,80.0,3.0,1602520812
25,conakry,gn,8.98,-14.51,84.2,79.0,75.0,11.41,1602520856
26,nikolskoye,ru,33.02,171.99,48.99,87.0,100.0,2.24,1602520856
27,bambous virieux,mu,-29.43,79.59,73.99,94.0,75.0,8.05,1602520856
28,san agustin,co,1.9,-76.32,71.6,68.0,5.0,3.36,1602520856
29,guerrero negro,mx,16.75,-126.5,79.29,52.0,0.0,3.15,1602520642
30,husavik,is,70.91,-16.48,46.4,65.0,28.0,12.75,1602520856
31,kruisfontein,za,-43.31,25.25,64.99,69.0,34.0,1.01,1602520856
32,butaritari,ki,16.93,177.03,81.54,76.0,32.0,15.14,1602520857
34,katherine,au,-14.64,132.49,84.2,42.0,24.0,5.82,1602520857
35,kupang,id,-10.2,122.21,78.19,73.0,48.0,8.99,1602520857
36,chokurdakh,ru,86.36,146.5,17.24,98.0,97.0,2.46,1602520855
37,te anau,nz,-42.95,158.23,41.16,90.0,63.0,1.68,1602520857
38,batticaloa,lk,9.42,86.39,80.94,66.0,38.0,10.51,1602520857
39,barrow,us,76.87,-149.39,21.2,85.0,90.0,5.82,1602520857
40,kodiak,us,47.33,-159.19,28.4,92.0,1.0,5.82,1602520607
42,rio grande,br,-35.31,-48.19,67.68,63.0,10.0,10.8,1602520857
43,kathu,th,7.29,97.43,80.01,88.0,75.0,10.29,1602520858
44,cabedelo,br,-5.92,-30.44,86.0,58.0,40.0,13.87,1602520858
45,bethel,us,54.72,-168.42,48.99,93.0,90.0,10.29,1602520656
46,puerto ayora,ec,-6.38,-111.95,77.0,65.0,20.0,20.8,1602520858
47,berdigestyakh,ru,61.31,126.45,22.73,85.0,100.0,16.22,1602520858
48,sokoto,ng,13.43,5.25,93.67,30.0,0.0,2.89,1602520858
49,hovd,mn,42.31,104.61,34.32,80.0,95.0,0.81,1602520858
50,nassau,bs,24.75,-77.38,53.01,91.0,100.0,7.0,1602520607
51,andradina,br,-20.86,-51.23,99.9,20.0,6.0,5.06,1602520858
52,bowen,au,-19.37,149.5,69.8,77.0,90.0,9.17,1602520858
53,tarauaca,br,-9.85,-71.05,103.62,22.0,0.0,3.69,1602520858
54,havre-saint-pierre,ca,55.9,-62.83,46.4,52.0,1.0,12.75,1602520608
55,tasiilaq,gl,73.45,-37.51,35.6,86.0,100.0,2.24,1602520859
56,praya,id,-14.38,116.69,84.2,66.0,40.0,12.75,1602520859
58,sabha,ly,26.61,14.19,85.69,18.0,16.0,7.29,1602520859
59,jamestown,sh,-14.17,-9.83,62.01,87.0,90.0,14.99,1602520594
60,punta arenas,cl,-74.58,-83.9,46.4,75.0,90.0,8.05,1602520855
61,rikitea,pf,-70.66,-123.35,74.23,75.0,36.0,14.99,1602520592
62,dothan,us,30.84,-85.18,79.0,83.0,90.0,5.82,1602520788
63,albany,au,-59.25,121.69,55.99,53.0,94.0,9.64,1602520859
64,magnor,no,60.07,12.57,46.4,81.0,0.0,6.93,1602520859
65,ushuaia,ar,-55.95,-51.22,48.2,81.0,75.0,17.22,1602520854
66,belmonte,br,-16.32,-32.9,75.2,78.0,75.0,4.7,1602520859
67,pevek,ru,88.79,168.23,25.52,95.0,100.0,11.3,1602520860
68,middelburg,za,-31.19,25.44,58.82,70.0,10.0,9.22,1602520860
69,dikson,ru,88.08,77.16,32.74,87.0,100.0,16.89,1602520860
70,cidreira,br,-34.08,-46.81,74.32,58.0,0.0,4.54,1602520860
71,pevek,ru,78.15,165.93,25.52,95.0,100.0,11.3,1602520860
72,kasongo-lunda,cd,-8.03,16.94,74.88,85.0,87.0,2.84,1602520860
73,rikitea,pf,-47.51,-113.17,74.23,75.0,36.0,14.99,1602520592
74,cartagena,co,10.33,-75.79,86.0,79.0,40.0,6.93,1602520765
75,tuatapere,nz,-63.81,154.61,40.03,88.0,32.0,2.21,1602520860
77,geraldton,au,-28.36,110.01,64.4,88.0,0.0,9.17,1602520617
78,husavik,is,77.88,-10.1,46.4,65.0,28.0,12.75,1602520856
79,ushuaia,ar,-76.49,-36.15,48.2,81.0,75.0,17.22,1602520854
80,korla,cn,40.69,85.11,50.23,43.0,93.0,3.04,1602520861
81,rikitea,pf,-34.61,-119.61,74.23,75.0,36.0,14.99,1602520592
82,hobart,au,-72.92,136.12,52.0,76.0,75.0,19.46,1602520773
83,yellowknife,ca,83.91,-97.92,32.0,86.0,90.0,20.8,1602520858
85,key west,us,25.25,-81.91,91.4,74.0,40.0,3.36,1602520820
86,cape town,za,-65.84,-4.47,69.8,26.0,75.0,12.75,1602520861
87,kavieng,pg,14.96,152.37,82.02,73.0,97.0,4.85,1602520623
88,upernavik,gl,73.92,-55.85,33.66,92.0,40.0,9.06,1602520861
89,yellowknife,ca,81.85,-110.73,32.0,86.0,90.0,20.8,1602520858
90,homer,us,59.05,-151.57,39.99,100.0,1.0,3.36,1602520862
91,abha,sa,19.99,41.93,68.0,77.0,3.0,6.93,1602520862
92,tuatapere,nz,-46.44,163.77,40.03,88.0,32.0,2.21,1602520860
